Session No.,Session Title,Topics/Flow,In-class Quizzes
1,Intro to Probability,"• Why learn Probability in the Analytics context
• Probability Vocab
• Limitations in traditional Probability
• Theoretical vs Empirical Probability","• Possibility vs Probability
• Random Experiment, Random Variable
• Sample Space, Event
• Sets: Union, Intersection, Null
• Mutually Exclusive vs Independent"
2,Conditional Probability,"• How new information affects probabilities
• How to visualize conditional probability","• Conditional Probabiliity
• Joint Probability
• Marginal Probability
• Venn Diagram Approach"
3,Bayes Theorem,"• The idea of updating probabilities 
• What is the Bayes approach and formula
• Situation where Bayes approach can be used","• Bayes' Theorem and Bayes' Formula
• Tree Diagram Approach
• Prior Probability and Posterior Probability"
4,Problem Solving - 1,• Additional Problems using concepts learnt so far,• NA
5,Intro to Statistics,"• Why learn Statistics
• Descriptive Statistics vs Inferential Statistics
• Central Tendency, Dispersion, Percentile ","• Measures of Central Tendency
• Measures of Spread
• Percentile and Quantile"
6,Probability Distribution,"• What does it mean for Proability to be distributed
• Making predictions about unequal distributions","• Uniform Distributions
• Unequal Probability Distributions
• Bernoulli Trials
• Bell Curves
• Probability Mass Function
• Cumulative Distribution Function"
7,Binomial Distribution,"Note: the topics initially mapped to this session are now merged with Session 6

Session 7 as per this list is <CANCELLED>",-
8,Normal Distribution,"• Understanding the ideal normal distribution
• Making predictions from this ideal distribution
• Will I even see such distributions in real-life?","• Normal Distribution, Gaussian Distribution
• 68 / 95 / 99.7 rule
• CDF and PPF"
9,Central Limit Theorem,"• The magic of Central Limit Theorem
• Decision making using Central Limit Theorem","• Population vs Sample
• Standard Error
• Estimation of sample mean"
10,Problem Solving - 2,• Additional Problems using concepts learnt so far,• NA
11,Other Important Distributions,• Making predictions from other types of distributions,"• Poisson Distribution
• Geometric Distribution
• Exponential Distribution"
12,Intro to Hypothesis Testing,"• What is Hypothesis Testing
• Vocabulary of Hypothesis Testing","• Null Hypothesis
• Alternative Hypothesis
• p-value
• alpha-value
• Type-1 and Type-2 errors
• False Positives and False Negatives"
13,One Sample tests,"• Testing hypothesis about Population mean
• Testing hypothesis about Population proportion","• Z distribution
• T distribution
• One-sample T-Test
• scipy.stats library in Python"
14,Two sample tests,"• T-test for two independent samples
• T-test for two related samples","• T-test for 2 Independent samples
• T-test for 2 Related samples (Paired T-test)"
15,Chisquared Test,"• When to use Chisquared test
• How to use Chisquared test
• Goodness of Fit test
• Test of Independence","• Chi distribution
• Degrees of Freedom
• Chisquared Test"
16,Buffer Session 1,Buffer session for spillovers and additional problem solving,• NA
17,Covariance and Correlation,"• Measuring the strength of Linear Relationships
• Covariance vs Correlation","• Covariance
• Correlation
• Pearsons's rho
• Spearman's rho"
18,Case Study,Application of concepts discussed so far on analysing a real-world data set,• NA
